RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page
206,Karina BystryNKU,G,23,28.6,14.5,4.1,10.9,37.6,1.5,4.7,32.1,4.8,6.0,80.3,3.9,1.3,1.2,0.1,1.9,5
207,Maya FozBRAD,G,21,25.5,14.5,5.2,11.4,46.0,1.3,3.5,37.8,2.7,3.7,71.8,3.3,2.2,1.6,0.1,2.8,5
207,Elyn BowersEWU,G,21,31.1,14.5,5.2,12.6,41.3,1.4,4.4,31.2,2.7,3.3,81.4,4.4,2.7,1.4,0.2,2.7,5
209,Anete AdlerBU,F,19,27.2,14.5,6.0,12.1,49.6,0.0,0.0,0.0,2.5,3.7,66.2,6.5,1.8,0.6,1.6,2.7,5
210,Gia CookeWVU,G,22,28.3,14.5,4.3,11.5,37.2,1.4,4.6,30.7,4.5,6.0,75.6,2.0,1.5,1.0,0.0,2.5,5
210,Angelina RoblesSDAK,G,22,30.5,14.5,5.0,12.1,40.8,1.3,3.5,37.2,3.2,4.0,81.6,4.0,3.1,1.4,0.2,2.1,5
212,Julia ColemanUIC,F,20,29.4,14.5,6.1,12.6,48.2,0.0,0.1,0.0,2.4,3.4,70.1,6.3,1.8,2.0,0.8,2.2,5
213,Halle ViceMARQ,G,21,31.8,14.4,6.2,10.9,57.0,0.9,1.9,46.2,1.2,1.8,65.8,9.0,2.0,1.1,0.9,2.0,5
213,McKinna BrackensASU,F,21,31.2,14.4,5.2,11.4,45.8,0.7,2.0,34.1,3.3,4.7,70.4,7.0,2.0,1.3,0.6,2.1,5
215,Hannah RiddickTLSA,F,18,25.4,14.4,5.3,10.7,50.0,0.2,0.6,27.3,3.6,5.2,68.1,6.8,1.8,0.8,0.9,3.1,5
215,Abigail WrightHARV,F,18,29.7,14.4,5.6,12.4,45.3,0.1,0.7,7.7,3.1,4.4,70.0,6.8,2.0,1.0,0.3,2.9,5
217,Gigi GambleMONM,G,16,25.9,14.4,5.3,12.1,43.5,2.0,5.4,36.8,1.9,2.8,66.7,1.6,1.1,1.3,0.0,1.6,5
218,Keira HansonUVM,G,23,33.1,14.3,5.7,12.6,45.3,2.0,4.6,43.4,1.0,1.1,84.6,2.3,1.7,1.3,0.4,1.9,5
218,Ashanti BarnesJMU,F,23,29.7,14.3,5.7,12.0,48.0,0.3,1.8,19.0,2.5,3.8,65.9,9.3,2.2,0.9,0.4,2.3,5
220,Savannah CatalonHALL,G,21,33.4,14.3,4.0,9.4,42.1,1.9,5.0,38.5,4.5,5.1,88.8,5.1,2.1,3.0,0.0,1.8,5
221,Flau'jae JohnsonLSU,G,22,24.9,14.3,5.6,11.5,48.8,1.5,3.3,43.8,1.7,2.2,75.5,4.3,2.6,1.4,0.8,1.7,5
222,Erin WoodsonACU,G,20,31.9,14.3,5.0,10.7,46.3,1.4,4.6,29.3,3.1,4.4,70.1,6.0,2.2,2.0,0.4,2.1,5
222,Princess AndersonCLT,G,20,23.0,14.3,5.1,13.8,37.1,1.6,5.2,29.8,2.6,3.4,76.1,1.8,0.9,2.0,0.1,2.3,5
224,Lani WhiteUTAH,G,21,29.8,14.3,5.0,10.9,46.3,2.0,5.1,39.3,2.2,2.5,86.8,5.0,1.6,0.6,0.2,2.2,5
224,Kendall BennettBING,F,21,29.5,14.3,5.2,8.4,62.1,0.0,0.0,0.0,3.8,4.7,81.6,9.1,0.3,1.2,1.4,2.2,5
226,Perri PageCOLU,G,18,29.4,14.3,5.8,10.8,53.3,0.6,1.8,31.3,2.2,3.3,65.0,6.8,2.1,2.7,0.2,2.2,5
227,Laila PheliaSYR,G,20,31.2,14.3,5.2,12.3,42.4,1.5,3.5,42.9,2.4,2.8,83.9,3.2,1.4,2.2,0.2,1.9,5
227,Kya SmithARMY,F,20,32.2,14.3,5.0,8.7,57.5,0.2,0.6,36.4,4.1,5.5,73.6,10.1,2.8,1.8,0.4,2.7,5
229,Elauni BennettKC,G,21,28.7,14.2,6.1,10.1,60.1,0.0,0.0,0.0,2.0,4.3,47.8,7.5,1.3,1.2,0.1,2.5,5
230,Antoniette Emma-NnopuWEB,F,19,26.3,14.2,5.3,9.6,54.9,0.5,1.4,34.6,3.2,4.1,78.2,10.3,2.9,1.9,1.3,2.8,5
230,India JohnstonTOW,G,19,29.8,14.2,4.8,12.0,40.4,1.7,5.4,31.1,2.8,3.8,75.0,2.1,2.3,1.0,0.2,1.8,5
232,Bailey FlavellHAW,G,20,29.7,14.2,4.6,11.5,40.2,1.4,4.2,33.3,3.6,4.8,75.8,4.0,1.9,0.8,0.2,3.3,5
233,Bella PucciBING,G,21,29.9,14.2,4.7,10.9,42.8,1.7,5.0,34.0,3.1,3.7,84.6,3.3,1.9,1.4,0.0,2.2,5
234,Ayanna-Sarai DarringtonCMU,F,17,24.1,14.2,5.5,9.2,59.2,0.0,0.0,0.0,3.2,5.1,63.2,7.5,0.9,0.6,0.1,2.4,5
235,Nene NdiayeRUTG,F,20,31.7,14.2,4.6,10.1,45.5,1.1,2.6,40.4,3.9,5.2,75.0,5.4,1.7,1.6,0.3,3.1,5
235,Sydne TolbertWGA,G,20,34.8,14.2,5.0,10.6,46.7,1.6,3.3,47.0,2.7,3.4,80.6,4.2,3.4,1.6,0.1,2.6,5
235,Gabby MundyWOF,G,20,30.8,14.2,5.6,13.5,41.1,1.6,4.2,38.1,1.5,2.3,63.0,5.7,4.2,1.1,0.1,2.8,5
238,Tatum ThompsonBOIS,F,21,30.2,14.1,5.2,11.5,45.0,0.3,0.9,31.6,3.5,4.8,73.0,7.4,2.4,1.3,0.4,1.9,5
239,Kristin WilliamsCCU,G,22,33.7,14.1,4.8,11.7,41.2,3.2,7.6,41.9,1.3,1.7,76.3,3.6,3.1,1.7,0.0,3.0,5
240,Hannah StuelkeIOWA,F,21,28.8,14.1,5.7,10.5,53.8,0.1,0.4,22.2,2.7,4.8,56.0,8.6,2.8,1.3,0.4,1.8,5
240,Dani BayesBOIS,G,21,30.3,14.1,4.7,11.2,41.9,2.0,5.2,37.3,2.7,3.3,82.6,4.5,3.0,1.9,0.4,2.6,5
240,Amber TretterM-OH,F,21,30.0,14.1,5.2,10.3,50.5,1.1,3.3,34.8,2.6,3.4,76.1,7.8,1.7,1.6,0.8,2.1,5
243,MiLaysia FulwileyLSU,G,22,21.0,14.1,5.3,10.6,49.6,0.9,3.1,29.4,2.6,3.4,78.4,3.5,3.6,3.3,1.1,2.2,5
244,CJ WilsonPV,PG,18,34.4,14.1,5.1,13.2,38.2,0.5,2.3,22.0,3.4,5.6,62.0,6.5,2.2,1.7,0.6,3.6,5
245,Reghan GrimesTNTC,G,19,33.3,14.1,4.7,13.2,36.0,1.2,3.7,32.9,3.4,4.2,81.0,6.2,2.7,1.4,0.4,2.7,5
246,Cali SmallwoodUAB,G,20,33.9,14.1,4.9,10.9,45.2,2.9,7.2,40.6,1.4,1.5,93.1,4.0,0.7,0.5,0.2,1.3,5
246,Saniya BurksTXST,G,20,28.4,14.1,4.6,12.7,36.2,2.2,6.3,34.1,2.7,3.2,85.7,2.3,1.2,1.5,0.2,2.0,5
248,Mia JacobsORE,F,23,27.3,14.0,4.3,9.4,45.2,2.1,5.3,39.8,3.4,4.0,84.8,5.5,1.8,1.4,0.4,2.5,5
249,Janiah BarkerTENN,F,17,23.6,14.0,4.7,10.2,46.0,1.2,3.7,31.7,3.4,4.8,71.6,6.8,1.2,1.2,1.0,2.4,5
249,Tierney KelseyINST,G,20,26.7,14.0,4.5,12.9,34.9,1.0,4.4,22.7,4.0,5.3,76.2,2.1,2.3,0.9,0.2,3.0,5
249,Clare CoyleFUR,F,21,30.0,14.0,5.8,11.1,52.4,0.0,0.0,0.0,2.4,4.7,50.5,9.2,1.6,2.1,1.1,1.9,6
252,Paige KohlerBGSU,G,20,34.3,14.0,4.6,13.3,34.6,1.9,7.0,27.1,2.9,3.8,75.0,3.7,3.4,1.4,0.2,2.4,6
253,Olivia BradleyUCSB,F,19,27.5,13.9,5.5,11.0,50.2,1.1,3.6,30.9,1.8,2.8,64.2,6.1,1.8,0.7,1.3,2.0,6
254,Cassidy GeddesW&M,G,18,35.1,13.9,5.3,16.1,33.1,1.9,7.9,24.6,1.3,1.8,72.7,3.9,2.4,1.9,0.7,2.3,6
255,Jada WilliamsISU,G,22,28.4,13.9,5.1,12.1,41.9,1.4,4.4,30.9,2.4,3.0,80.0,3.1,7.7,1.0,0.0,3.4,6
255,Jordan LeeTEX,G,22,32.9,13.9,5.1,12.3,41.9,2.0,5.7,34.4,1.7,2.2,77.1,2.2,2.4,1.6,0.6,1.0,6
257,Anovia ShealsAPSU,G,19,29.3,13.9,5.0,12.4,40.3,0.8,4.1,19.5,3.1,4.2,74.7,5.5,2.2,1.4,0.2,2.8,6
258,Tessa JohnsonSC,G,22,28.6,13.9,5.0,10.3,48.9,2.6,5.6,46.0,1.2,1.5,78.8,3.6,2.7,0.5,0.3,1.3,6
259,Destinee HooksUNM,G,21,24.1,13.9,5.0,12.0,41.7,1.5,4.6,32.3,2.4,3.5,68.5,3.5,1.1,1.1,0.1,2.5,6
260,Zay DyerTROY,F,21,29.3,13.8,5.5,13.1,42.0,0.5,2.1,25.0,2.2,3.7,60.3,12.2,2.0,1.2,1.5,2.1,6
260,Harmanie DominguezSFA,G,21,31.6,13.8,4.5,11.3,40.1,3.0,8.1,37.4,1.7,2.3,75.0,4.4,2.5,1.3,0.3,2.0,6
262,Madina OkotSC,C,22,23.5,13.8,5.9,9.8,59.7,0.1,0.4,33.3,1.9,2.9,65.6,10.3,1.0,1.5,1.5,2.4,6
262,Grace OliverWAKE,F,22,30.8,13.8,5.8,9.6,59.9,1.1,2.7,40.0,1.1,1.5,73.5,5.8,1.5,1.2,0.5,1.8,6
264,Jasha ClintonNORF,G,21,33.2,13.8,5.4,12.1,44.3,0.6,2.4,24.0,2.4,3.2,76.1,3.8,3.8,3.4,0.3,3.9,6
264,Ava UhrichSUU,F,21,29.3,13.8,5.3,11.7,45.1,0.7,2.9,25.0,2.5,3.3,74.3,10.2,2.4,0.7,0.4,2.2,6
264,Winner BartholomewPAC,F,21,24.5,13.8,5.6,11.9,46.8,0.0,0.1,33.3,2.6,3.3,77.1,5.5,1.0,0.6,0.0,1.9,6
267,Christeen IwualaMISS,F,20,27.4,13.8,5.6,9.5,58.7,0.0,0.0,0.0,2.7,3.9,67.9,8.2,1.3,1.1,0.6,2.2,6
267,Hilary FullerBEL,F,20,20.4,13.8,5.2,12.8,40.4,0.7,2.3,28.9,2.8,4.0,70.9,4.6,1.0,1.0,1.4,3.0,6
269,Peyton HillEMU,PG,19,32.7,13.7,4.4,9.7,45.1,1.2,3.2,37.7,3.8,4.6,81.8,3.5,2.2,1.2,0.5,2.4,6
270,Liz FreihoferEKU,G,22,35.4,13.7,4.5,10.6,42.3,2.4,5.9,40.3,2.4,2.8,85.2,6.9,2.7,1.0,0.8,1.3,6
271,Grace GrocholskiMINN,G,21,32.4,13.7,5.2,10.0,51.7,2.5,5.3,47.7,0.8,1.0,77.3,4.9,2.6,0.8,0.2,1.3,6
272,Haleigh TimmerOKST,G,22,29.5,13.7,4.7,9.0,52.0,2.6,5.8,44.5,1.7,2.0,86.4,3.3,2.0,1.5,0.5,1.2,6
272,Alyssa SandSTMN,F,22,31.3,13.7,5.1,10.6,48.1,0.4,1.5,28.1,3.1,4.9,63.6,7.8,1.8,2.3,1.5,3.0,6
274,Gianna KneepkensUCLA,G,21,28.0,13.7,5.0,9.5,52.8,2.6,5.5,47.0,1.1,1.1,95.8,3.4,3.3,1.2,0.1,1.1,6
275,Me'Arah O'NealFLA,G,23,25.0,13.7,4.4,8.6,51.8,0.9,2.8,32.3,3.9,5.2,74.2,6.7,1.3,1.4,1.5,1.7,6
276,Molly HeardLIP,G,20,29.7,13.7,4.7,11.2,41.5,1.1,4.2,26.5,3.3,4.7,69.9,5.2,2.5,2.4,0.5,3.5,6
277,Gretchen DolanILL,G,17,30.7,13.6,5.0,12.6,39.5,0.9,3.6,24.6,2.8,3.1,88.7,3.6,2.9,1.2,0.4,1.6,6
278,Chance GrayOSU,G,22,29.3,13.6,5.0,11.3,44.6,2.0,5.6,35.5,1.5,1.9,81.0,2.7,2.7,0.7,0.0,1.8,6
279,Fadima TallPRIN,G,16,29.3,13.6,4.5,10.1,44.4,1.5,3.8,39.3,3.1,3.8,83.3,7.8,2.1,2.2,0.2,1.8,6
280,Colbi MaplesCLE,G,21,29.3,13.6,4.2,11.6,36.2,1.9,6.2,30.5,3.3,4.4,75.3,1.4,1.9,1.6,0.0,2.3,6
281,Ava ZedikerCREI,G,18,32.1,13.6,4.2,10.5,39.7,1.0,2.8,36.0,4.3,4.8,89.5,4.9,3.3,1.3,0.2,2.6,6
282,Lucia YenesNMSU,F,20,30.3,13.6,5.4,12.3,43.9,0.4,1.5,27.6,2.4,3.2,73.4,6.1,1.6,1.7,0.9,3.1,6
282,Kennedy HarrisGMU,G,20,33.4,13.6,4.9,13.3,37.0,2.1,5.6,37.8,1.7,2.4,68.8,2.7,2.5,1.9,0.2,2.0,6
282,Syla SwordsMICH,G,20,31.3,13.6,4.9,12.1,40.1,2.4,6.6,35.9,1.5,2.1,71.4,4.1,2.7,1.9,0.3,2.0,6
285,Carleigh WenzelVT,G,22,29.4,13.5,4.3,12.4,34.6,1.9,5.6,34.1,3.1,4.1,74.7,3.4,3.6,1.1,0.5,3.0,6
285,Lenée BeaumontIU,G,22,33.8,13.5,4.7,10.6,44.0,1.6,4.0,40.4,2.5,3.0,86.2,4.6,3.0,0.8,0.0,2.6,6
287,Mariana ValenzuelaHALL,F,21,29.8,13.5,5.2,10.3,50.7,1.8,4.4,40.2,1.3,2.0,62.8,7.4,1.2,1.0,0.8,2.1,6
287,Jaini EdmondsUML,G,21,31.0,13.5,5.0,12.6,39.8,1.8,5.8,30.3,1.8,2.3,77.1,3.3,2.7,0.9,0.3,2.9,6
287,Kyra GardnerIDHO,G,21,27.7,13.5,5.1,12.4,41.5,2.0,6.1,33.6,1.2,1.9,62.5,7.0,1.9,2.5,1.0,1.7,6
290,Jada LeonardCLE,G,23,33.3,13.5,4.5,11.9,38.1,1.2,4.3,28.3,3.3,4.0,81.5,2.2,3.3,3.0,0.0,3.1,6
291,Isabellah MiddletonIONA,G,22,29.9,13.5,5.2,13.0,40.0,0.7,2.5,29.6,2.4,3.5,68.8,6.7,1.9,2.1,0.2,2.0,6
291,Neenah GeorgeUNCO,G,22,28.8,13.5,4.7,11.5,41.1,1.0,3.4,29.7,3.0,4.0,75.3,3.0,3.0,1.3,0.0,3.0,6
291,Gianna CorbittUTC,F,18,27.1,13.5,4.8,10.1,47.5,1.7,4.3,40.3,2.2,2.6,85.1,8.2,0.9,1.9,0.6,2.1,6
294,Jakayla JohnsonUSM,G,21,25.5,13.5,4.6,9.7,47.8,1.3,3.3,40.6,2.9,3.6,80.3,3.9,1.9,1.3,0.0,2.4,6
294,Hope HassmannIDHO,G,21,28.0,13.5,4.6,12.2,37.5,1.4,4.1,34.5,2.9,3.6,81.3,3.6,4.0,1.2,0.0,2.5,6
296,Bailey TabelingOHIO,G,19,30.1,13.5,4.4,11.2,39.2,2.3,7.4,30.7,2.5,3.3,74.6,3.9,3.1,2.3,0.5,2.1,6
297,Ava RenningerFDU,G,22,35.9,13.5,4.7,11.9,39.7,1.8,5.0,36.7,2.2,2.6,82.8,5.1,5.2,0.7,0.1,3.7,6
298,Tessa TowersBALL,C,21,21.1,13.4,5.7,10.0,56.9,0.0,0.0,0.0,2.0,3.1,64.6,8.1,1.2,0.3,0.6,2.0,6
299,Fernanda OvalleEMU,G,19,29.4,13.4,4.8,11.5,42.0,1.3,4.9,26.6,2.4,3.2,75.4,2.8,1.8,0.9,0.5,2.2,6
300,Noelani CornfieldARIZ,G,20,34.0,13.4,4.7,11.5,40.4,0.3,1.5,16.7,3.9,4.9,79.4,3.8,7.2,2.4,0.2,3.5,6
300,Kaylee YarbroughSAM,G,20,22.4,13.4,4.8,11.3,42.2,2.0,5.6,36.0,1.9,2.5,77.6,2.1,0.8,0.7,0.2,1.8,7
302,Cheyenne RoweUTSA,F,18,31.8,13.4,5.5,11.8,46.7,0.3,1.7,20.0,2.1,2.9,71.2,8.9,0.9,0.7,0.7,1.8,7
302,Gal RavivMIA,G,18,31.6,13.4,5.3,12.9,40.9,1.1,4.3,26.0,1.7,2.2,77.5,2.1,3.4,1.6,0.1,3.1,7
304,Kennedy BlairMSU,G,21,28.1,13.4,5.1,9.7,52.7,0.3,1.3,25.0,2.9,3.8,75.9,7.0,5.5,2.2,0.5,3.0,7
304,Alyssa ErvinFUR,G,21,25.7,13.4,4.5,11.1,40.6,1.6,5.0,32.4,2.7,3.6,75.0,3.1,1.1,1.6,0.7,1.6,7
