RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page,team_abbr,player_name,Effective_FG%,TS%
125,Lexus BargesserCSU,G,22,31.1,15.4,5.6,12.4,45.6,0.9,2.3,37.3,3.3,4.1,79.1,5.7,3.0,1.5,0.7,2.1,3,CSU,Lexus Bargesser,48.79032258064516,54.21008166713601
125,Laycee DrakeSBU,G,22,29.4,15.4,6.1,12.8,47.7,1.2,3.5,35.5,2.0,2.5,80.0,5.9,2.0,1.9,0.4,2.6,3,SBU,Laycee Drake,52.343749999999986,55.39568345323741
127,Rachel UllstromRICH,G,21,33.3,15.4,5.5,11.2,48.7,3.2,7.7,41.6,1.2,1.6,76.5,5.7,1.2,1.2,0.6,1.1,3,RICH,Rachel Ullstrom,63.39285714285714,64.68413978494624
127,Cassandre ProsperND,G,21,34.5,15.4,5.9,11.7,50.4,0.7,1.7,40.0,2.9,3.9,75.3,7.8,1.8,1.8,1.0,2.0,3,ND,Cassandre Prosper,53.41880341880342,57.39415623136554
129,Marta SuarezTCU,F,22,29.6,15.4,5.7,12.5,45.8,2.0,5.8,34.4,1.9,2.2,87.5,6.5,2.5,1.4,0.2,3.4,3,TCU,Marta Suarez,53.6,57.17255717255717
130,Bailey MaupinTTU,G,23,30.9,15.3,4.9,11.0,44.8,2.0,5.7,35.4,3.5,4.3,80.8,3.6,3.0,1.7,0.3,3.1,3,TTU,Bailey Maupin,53.63636363636364,59.33912503878375
131,Ny'Ceara PryorTA&M,G,17,33.2,15.3,5.3,13.2,40.0,0.2,1.4,13.0,4.5,7.3,62.1,4.4,6.9,3.7,0.2,3.9,3,,Ny'Ceara PryorTA&M,40.90909090909091,46.612234950036566
132,Lauren OlsenCBU,G,21,27.0,15.3,5.7,12.4,45.6,2.1,5.0,41.5,1.9,2.4,76.5,2.9,1.8,1.5,0.4,2.7,3,CBU,Lauren Olsen,54.43548387096774,56.85196195005946
133,Shannon DowellMIZ,G,19,29.1,15.3,4.8,10.9,44.0,0.5,1.8,28.6,5.2,6.4,81.0,6.5,2.2,1.3,0.4,3.6,3,MIZ,Shannon Dowell,46.330275229357795,55.77427821522309
133,Paris BradleyLT,G,19,32.4,15.3,4.8,11.0,44.0,1.8,5.4,34.3,3.7,4.7,79.8,5.5,3.5,1.6,0.1,2.7,3,LT,Paris Bradley,51.81818181818182,58.53994490358127
