RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,page,team_abbr,player_name,Effective_FG%,TS%
539,Mimi RubinoBRY,G,21,30.6,11.5,4.0,11.7,34.7,2.0,5.6,35.6,1.4,2.2,61.7,4.4,1.9,1.0,0.2,1.5,11,BRY,Mimi Rubino,42.73504273504274,45.389958951689295
539,Kristina EkofoRID,F,21,27.7,11.5,4.5,11.7,38.2,0.7,3.2,20.6,1.9,2.1,88.6,4.8,2.2,1.0,0.4,2.9,11,RID,Kristina Ekofo,41.45299145299145,45.54816223067174
539,Aubrey GalvanVAN,G,21,33.2,11.5,4.5,11.2,39.8,1.8,5.5,32.8,0.7,0.9,78.9,3.2,6.3,3.0,0.1,2.6,11,VAN,Aubrey Galvan,48.21428571428572,49.586064160055194
542,Shelby RicksSFPA,F,19,26.3,11.5,4.2,10.4,39.9,0.9,2.7,32.7,2.3,3.2,71.7,6.6,0.9,0.3,0.9,1.9,11,SFPA,Shelby Ricks,44.71153846153847,48.69579945799458
542,Jianna MorrisLT,G,19,34.3,11.5,3.8,10.2,37.1,2.7,7.8,35.1,1.2,1.6,73.3,2.9,2.1,1.0,0.2,1.2,11,LT,Jianna Morris,50.49019607843138,52.73294203961849
544,Olivia HutchersonPRIN,G,18,27.9,11.4,4.3,8.0,53.5,0.0,0.3,0.0,2.9,4.2,69.3,5.6,1.7,1.3,0.6,1.7,11,PRIN,Olivia Hutcherson,53.75,57.879772542648254
544,Natalie FoxW&M,F,18,28.2,11.4,4.6,8.8,51.6,0.0,0.0,0.0,2.3,4.1,56.8,6.6,1.3,0.9,1.0,2.6,11,,Natalie FoxW&M,52.27272727272726,53.753300641267444
544,Camryn CollinsNE,G,18,30.1,11.4,4.1,10.4,39.0,0.9,2.9,30.8,2.4,3.1,78.6,2.2,1.3,1.5,0.1,2.3,11,NE,Camryn Collins,43.74999999999999,48.452907174430464
547,Nevaeh WingateNIU,F,19,28.7,11.4,3.9,10.3,37.8,0.5,1.8,28.6,3.1,5.0,62.1,5.8,1.8,2.0,0.2,3.3,11,NIU,Nevaeh Wingate,40.29126213592233,45.6
547,Shaniyah McCarthyFAMU,G,19,31.7,11.4,4.0,10.8,36.9,0.7,2.9,23.6,2.7,4.2,65.8,5.2,1.2,0.7,0.1,2.4,11,FAMU,Shaniyah McCarthy,40.27777777777777,45.066413662239086
549,Briana RiveraSAM,G,22,28.2,11.4,3.5,9.7,35.7,3.3,9.3,35.6,1.2,1.6,74.3,2.0,0.7,0.5,0.1,1.0,11,SAM,Briana Rivera,53.09278350515465,54.786620530565166
550,J'Mani IngramULM,G,20,23.5,11.4,4.3,10.9,39.4,0.1,0.3,40.0,2.7,4.2,64.3,4.3,1.1,0.8,0.2,2.9,11,ULM,J'Mani Ingram,39.90825688073394,44.71289614057107
550,Madison RomanMRMK,F,20,31.2,11.4,4.0,9.1,43.4,0.2,1.4,11.1,3.4,4.6,72.8,11.1,3.1,1.1,0.5,3.4,12,MRMK,Madison Roman,45.05494505494505,51.24056094929882
552,Asta BlauenfeldtME,G,21,33.9,11.4,4.2,9.8,43.4,1.8,5.3,34.2,1.1,1.2,88.5,2.1,2.0,2.0,0.3,1.8,12,ME,Asta Blauenfeldt,52.04081632653062,55.18977536793182
552,Ella O'DonnellQUIN,F,21,23.4,11.4,4.6,9.6,47.5,0.0,0.1,0.0,2.2,3.4,65.3,5.5,3.1,1.3,0.2,2.7,12,QUIN,Ella O'Donnell,47.916666666666664,51.369863013698634
552,Makiah AsidanyaUNCG,G,21,29.0,11.4,3.7,10.4,35.2,2.1,5.5,39.1,1.9,2.7,71.4,4.0,2.0,1.0,0.0,2.1,12,UNCG,Makiah Asidanya,45.67307692307692,49.18881601656886
555,Payton VerhulstOU,G,21,30.6,11.3,4.3,10.8,40.1,1.6,5.1,31.8,1.0,1.2,84.6,5.7,3.1,1.5,0.9,1.4,12,OU,Payton Verhulst,47.222222222222214,49.87641242937853
555,D'Mya TuckerNCAT,G,18,32.3,11.3,3.9,9.8,39.5,0.7,2.4,29.5,2.8,3.8,75.0,3.9,2.0,1.0,0.4,2.8,12,NCAT,D'Mya Tucker,43.36734693877551,49.250348675034864
555,Aleah JamesSFPA,G,18,30.2,11.3,4.4,11.8,37.7,1.0,2.8,36.0,1.4,2.2,66.7,3.7,2.7,1.1,0.0,3.1,12,SFPA,Aleah James,41.52542372881356,44.25125313283208
555,Carly KeatsUSM,PG,21,30.0,11.3,4.0,10.2,39.5,2.6,7.0,37.2,0.6,0.8,76.5,3.1,2.7,0.9,0.0,2.2,12,USM,Carly Keats,51.9607843137255,53.54435178165278
555,Luisa VydrovaYALE,F,18,33.6,11.3,4.9,10.0,49.4,0.6,1.2,47.6,0.9,1.1,80.0,4.9,2.4,1.3,0.6,2.8,12,YALE,Luisa Vydrova,52.0,53.89164441053034
555,Lena WalzMERC,G,15,32.9,11.3,3.7,10.7,35.0,2.1,5.6,36.9,1.8,3.3,55.1,4.4,2.1,1.0,0.3,2.9,12,MERC,Lena Walz,44.39252336448599,46.49440421329823
555,Kailey StarksWMU,G,18,29.2,11.3,3.9,11.2,34.7,0.8,3.1,25.0,2.8,3.9,71.4,3.7,1.4,1.2,0.1,2.9,12,WMU,Kailey Starks,38.392857142857146,43.74419324868381
555,Aina CargolSF,G,21,32.0,11.3,3.8,9.1,41.1,1.5,3.8,40.0,2.3,3.2,71.6,3.1,4.6,1.0,0.1,3.5,12,SF,Aina Cargol,50.0,53.76855728968406
555,Imani DanielUL,G,18,29.5,11.3,4.2,9.9,41.9,0.0,0.2,0.0,3.0,3.8,79.4,6.3,0.7,1.1,0.3,2.7,12,UL,Imani Daniel,42.42424242424242,48.8247493950916
564,Meghan FisoPEPP,G,22,27.9,11.3,4.6,9.9,46.3,0.5,1.6,30.6,1.6,2.3,72.0,5.0,2.0,0.7,0.4,1.7,12,PEPP,Meghan Fiso,48.98989898989898,51.77785923753666
565,Iyana MooreND,G,19,29.0,11.3,3.7,9.1,40.5,2.4,5.7,41.3,1.6,1.7,90.9,3.1,1.2,1.3,0.2,1.8,12,ND,Iyana Moore,53.846153846153854,57.37205523964257
565,Makayla JacksonDETM,G,19,27.6,11.3,4.3,11.1,39.0,0.9,2.9,30.9,1.8,2.9,61.8,2.2,1.3,2.1,0.2,2.4,12,DETM,Makayla Jackson,42.792792792792795,45.65287653522948
565,Tyja BeansCOFC,G,19,25.0,11.3,4.6,10.0,45.8,0.5,1.8,28.6,1.6,2.1,77.5,4.8,1.5,1.8,0.3,1.8,12,COFC,Tyja Beans,48.5,51.7209813255218
565,Brooklyn FelySUU,F,19,21.3,11.3,4.4,9.6,45.4,0.2,1.2,18.2,2.4,3.3,71.4,7.9,2.0,0.7,0.6,1.5,12,SUU,Brooklyn Fely,46.875,51.12196887441187
569,Sakyia WhiteUSM,F,16,23.0,11.3,4.4,7.7,57.7,0.0,0.0,0.0,2.4,2.8,86.7,7.9,0.6,1.2,0.6,1.4,12,USM,Sakyia White,57.14285714285715,63.255709807433945
570,Shanti SimmonsGASO,G,20,27.7,11.3,4.0,7.3,54.5,0.5,1.4,32.1,3.0,3.6,81.9,6.8,2.4,3.0,0.4,1.6,12,GASO,Shanti Simmons,58.21917808219178,63.59747861323728
570,Charlotte TuhyAMER,F,20,33.3,11.3,4.3,9.8,43.4,1.1,3.2,34.4,1.7,2.4,72.3,10.8,1.6,1.0,0.9,2.4,12,AMER,Charlotte Tuhy,49.48979591836734,52.044952100221074
572,Fatmata JannehTA&M,F,17,27.0,11.3,3.9,9.9,39.9,0.9,3.3,28.6,2.5,2.8,87.5,9.9,1.1,1.7,0.5,2.4,12,,Fatmata JannehTA&M,43.93939393939393,50.754581386992456
573,Lee VolkerMARQ,G,21,32.0,11.3,3.7,8.7,42.9,1.9,4.5,42.6,2.0,2.2,89.1,5.0,2.9,1.3,0.7,1.8,12,MARQ,Lee Volker,53.448275862068975,58.440215142738936
573,Khia MillerGTWN,G,21,29.5,11.3,3.7,8.6,43.3,0.6,1.8,35.1,3.2,3.9,84.0,3.5,1.4,1.5,0.2,2.2,12,GTWN,Khia Miller,46.51162790697674,54.769290422644445
573,Maddie WebberILL,G,21,24.5,11.3,4.2,9.4,45.2,1.8,4.0,43.5,1.0,1.4,75.9,2.7,1.7,0.5,0.3,1.2,12,ILL,Maddie Webber,54.255319148936174,56.40974440894569
576,Fiona ConnollyVAL,G,19,26.4,11.3,4.2,10.6,39.3,1.1,4.4,23.8,1.9,3.2,59.0,3.8,1.4,0.9,0.3,3.3,12,VAL,Fiona Connolly,44.81132075471698,47.05196535642905
577,Nicole MeliousSIE,G,20,31.0,11.3,4.1,10.7,38.5,2.1,6.6,31.8,1.0,1.2,82.6,4.3,2.1,1.4,0.1,2.2,12,SIE,Nicole Melious,48.13084112149533,50.32062700391878
577,Chloe ClardySTAN,G,20,30.4,11.3,3.9,10.0,38.5,1.4,4.3,32.9,2.2,2.7,81.1,3.3,2.6,1.9,0.4,1.9,12,STAN,Chloe Clardy,46.0,50.50053628888095
577,Tamya SmithMEM,F,20,26.0,11.3,4.4,10.9,39.9,0.5,1.8,28.6,2.1,3.1,67.2,5.5,1.0,1.1,1.1,2.8,12,MEM,Tamya Smith,42.6605504587156,46.06979778212655
577,Hannah ChickenPRST,F,20,25.5,11.3,4.3,8.6,50.3,0.7,1.4,46.4,2.0,2.5,80.0,6.1,1.7,1.5,0.7,2.7,12,PRST,Hannah Chicken,54.06976744186046,58.24742268041238
581,Mara BraunMINN,G,21,31.8,11.2,4.1,11.0,37.4,1.4,5.1,28.0,1.6,1.8,91.9,4.4,2.4,1.6,0.8,1.2,12,MINN,Mara Braun,43.63636363636363,47.4898236092266
581,Amijah PriceUL,G,21,25.3,11.2,3.7,12.4,29.6,0.8,3.6,21.3,3.1,4.2,75.0,4.9,1.6,1.6,0.1,3.3,12,UL,Amijah Price,33.06451612903226,39.30376193149915
583,Stailee HeardOKST,G,22,28.8,11.2,3.7,9.1,40.5,1.1,4.3,25.3,2.8,3.3,83.6,5.4,2.7,1.7,0.2,2.3,12,OKST,Stailee Heard,46.7032967032967,53.070507960576194
584,Jorja ElliottUIW,G,19,29.2,11.2,3.7,9.4,39.7,1.9,5.7,33.9,1.8,2.6,68.0,5.2,1.7,1.6,0.6,2.6,12,UIW,Jorja Elliott,49.46808510638298,53.110773899848255
584,Mya BarnesJXST,F,19,31.1,11.2,4.1,9.9,41.0,2.1,5.2,39.4,1.1,1.5,71.4,8.4,1.5,1.2,1.1,1.3,12,JXST,Mya Barnes,52.020202020202014,53.03030303030303
584,Kylah SilverUNCW,G,19,31.4,11.2,3.9,10.3,38.5,0.6,2.1,27.5,2.7,4.3,64.2,5.5,1.4,1.3,0.5,2.6,12,UNCW,Kylah Silver,40.77669902912621,45.93175853018373
587,Tamia StricklinSEA,F,20,27.6,11.2,4.3,9.9,43.1,1.3,3.4,37.3,1.5,1.8,80.6,5.9,1.7,0.9,0.3,2.2,12,SEA,Tamia Stricklin,50.0,52.37560793116348
587,Molly MoffittUAB,F,20,28.4,11.2,4.3,9.4,45.7,1.5,3.8,40.0,1.1,1.2,91.7,5.3,1.1,0.6,0.6,2.3,12,UAB,Molly Moffitt,53.72340425531914,56.406124093473
589,Victoria FloresRICE,G,21,30.0,11.2,3.2,10.2,31.6,1.3,4.9,26.5,3.4,4.0,84.7,3.2,2.7,1.7,0.1,2.3,12,RICE,Victoria Flores,37.74509803921569,46.82274247491639
590,Abigail HoltmanMER,G,16,27.1,11.2,3.6,8.6,41.6,2.3,6.2,37.4,1.8,2.1,84.8,4.1,0.9,0.9,0.6,0.9,12,MER,Abigail Holtman,55.23255813953488,58.798824023519536
590,Belle BramerLEH,G,16,27.8,11.2,4.4,8.3,53.8,0.9,2.6,36.6,1.4,2.1,66.7,2.6,1.3,1.8,0.2,1.3,12,LEH,Belle Bramer,58.43373493975904,60.71118820468343
592,Zee SpearmanTENN,F,18,25.1,11.2,3.9,10.0,39.4,1.0,3.9,25.7,2.3,3.8,59.4,6.8,0.9,0.8,1.4,2.6,12,TENN,Zee Spearman,44.00000000000001,47.97806716929403
593,Eleecia CarterUAB,G,20,30.2,11.2,3.3,9.6,33.9,1.9,5.1,36.6,2.8,3.5,81.2,3.6,2.9,1.1,0.3,2.7,12,UAB,Eleecia Carter,44.270833333333336,50.269299820466784
593,Taj HunterWCU,G,20,28.1,11.2,4.0,9.9,40.4,1.1,3.2,32.8,2.1,3.1,68.9,3.5,1.4,1.3,0.4,3.6,12,WCU,Taj Hunter,45.95959595959596,49.71590909090908
593,Sofia WilsonMERC,G,20,30.9,11.2,4.0,10.8,36.6,1.5,5.0,30.3,1.8,2.5,71.4,2.7,3.6,1.7,0.1,2.9,12,MERC,Sofia Wilson,43.981481481481474,47.05882352941176
596,Kinsea GrimesCCU,F,21,26.9,11.1,3.6,9.4,38.1,1.0,2.6,38.9,3.0,4.2,70.8,6.6,1.8,1.4,1.0,1.9,12,CCU,Kinsea Grimes,43.61702127659574,49.34210526315789
597,Lili KrasovecPFW,F,22,22.5,11.1,4.4,6.9,63.2,0.0,0.2,0.0,2.4,3.1,76.8,4.7,1.5,1.0,1.0,2.6,12,PFW,Lili Krasovec,63.76811594202899,67.15876089060986
597,Sarah BakerYSU,F,22,23.7,11.1,5.0,9.5,52.6,0.0,0.0,0.0,1.1,1.5,73.5,4.6,1.4,0.7,0.6,2.3,12,YSU,Sarah Baker,52.63157894736842,54.625984251968504
599,Bree RobinsonJMU,G,23,33.7,11.1,4.4,9.8,45.1,0.9,3.3,28.0,1.3,1.8,75.6,3.1,3.3,2.6,0.1,2.7,12,JMU,Bree Robinson,49.48979591836735,52.398036253776425
599,Alyssa KoerkenmeierSLU,C,23,27.3,11.1,4.3,7.3,58.9,0.0,0.0,0.0,2.5,3.5,71.6,8.5,1.4,0.6,2.5,2.3,12,SLU,Alyssa Koerkenmeier,58.9041095890411,62.782805429864254
601,Aaniya WebbTNST,G,17,25.6,11.1,3.6,11.4,32.0,1.6,5.7,28.9,2.2,2.7,80.4,3.4,0.9,0.9,0.2,2.6,13,TNST,Aaniya Webb,38.59649122807018,44.08960915157292
602,Saniyah Glenn-BelloHARV,G,18,29.2,11.1,4.0,11.1,36.2,0.9,2.8,32.0,2.2,2.6,87.0,4.3,2.5,1.4,1.3,3.2,13,HARV,Saniyah Glenn-Bello,40.090090090090094,45.32832407709898
602,Alexis AndrewsMONM,G,18,33.7,11.1,3.6,10.9,32.5,1.3,5.3,24.0,2.7,3.8,72.1,2.3,1.9,0.8,0.1,2.4,13,MONM,Alexis Andrews,38.99082568807339,44.1457206490614
604,Aleah SorrentinoSTET,F,20,26.8,11.1,4.1,9.1,44.5,0.8,1.8,42.9,2.3,4.6,49.5,8.1,1.8,0.8,0.7,2.0,13,STET,Aleah Sorrentino,49.45054945054945,49.89212513484358
604,Bree StephensCARK,F,20,27.4,11.1,4.4,9.9,43.9,1.4,4.1,34.6,1.0,1.5,69.0,7.6,2.8,1.6,1.5,1.9,13,CARK,Bree Stephens,51.515151515151516,52.55681818181818
606,Imani LesterRUTG,G,21,23.7,11.1,4.0,9.4,42.9,0.3,1.2,26.9,2.7,3.5,76.7,5.6,1.2,1.0,1.2,1.9,13,RUTG,Imani Lester,44.148936170212764,50.73126142595977
606,Emma JohanssonCBU,F,21,27.4,11.1,4.5,10.2,44.4,0.9,4.0,21.7,1.2,1.5,80.6,7.7,2.4,1.0,3.0,2.5,13,CBU,Emma Johansson,48.529411764705884,51.10497237569061
606,Joan QuinnLAS,G,21,29.6,11.1,3.9,9.3,41.5,1.3,3.7,36.4,2.0,2.3,87.8,3.5,2.9,2.0,0.2,3.0,13,LAS,Joan Quinn,48.924731182795696,53.82079131109386
609,Aniya FingerNCCU,F,14,19.9,11.1,4.2,10.3,41.0,0.4,1.1,40.0,2.2,3.6,62.0,4.9,0.6,1.4,0.3,1.4,13,NCCU,Aniya Finger,42.71844660194175,46.70144732413329
610,Shadasia BrackensTAR,F,19,22.4,11.1,4.4,8.4,51.9,0.6,1.5,37.9,1.7,2.7,64.7,7.7,0.7,1.1,0.7,1.7,13,TAR,Shadasia Brackens,55.952380952380956,57.8848560700876
610,Tahnyjia PurifoyFAMU,G,19,30.8,11.1,3.2,8.1,39.2,0.6,2.4,26.7,4.1,5.0,82.1,2.2,3.3,1.8,0.1,4.7,13,FAMU,Tahnyjia Purifoy,43.20987654320988,53.883495145631066
612,Addi MackMD,G,20,26.8,11.1,4.1,9.2,44.3,0.7,2.6,25.5,2.3,2.6,90.2,3.0,2.7,1.0,0.2,1.7,13,MD,Addi Mack,48.369565217391305,53.654292343387475
613,Hannah RobbinsWEB,G,21,31.0,11.0,4.2,11.0,37.9,1.2,4.0,29.8,1.5,2.0,73.8,3.8,2.8,2.0,0.8,3.5,13,WEB,Hannah Robbins,43.63636363636363,46.29629629629629
613,Avery SussexUCD,G,21,28.1,11.0,3.4,8.7,38.8,2.3,6.4,36.3,2.0,2.3,83.7,3.5,3.0,1.0,0.3,2.2,13,UCD,Avery Sussex,52.29885057471264,56.63097199341022
615,Destiney McPhaulMSST,G,22,29.6,11.0,4.0,8.8,45.9,1.3,4.0,33.0,1.6,2.1,76.6,2.6,3.9,1.7,0.2,2.0,13,MSST,Destiney McPhaul,52.84090909090909,56.56108597285068
615,Ava SchmidtSCU,F,22,24.6,11.0,4.0,10.2,39.6,2.0,5.6,34.7,1.0,1.6,62.9,4.9,0.9,1.3,2.2,0.9,13,SCU,Ava Schmidt,49.01960784313726,50.44020542920029
617,Benthe VersteegSAC,G,21,33.8,11.0,4.3,11.9,36.5,0.6,2.7,22.8,1.7,2.6,65.5,5.3,4.6,1.1,0.4,5.1,13,SAC,Benthe Versteeg,38.65546218487395,42.164980067463965
617,Kayla CooperSIU,G,19,33.5,11.0,4.1,12.1,33.5,1.3,4.9,25.5,1.6,2.5,66.0,2.3,1.7,1.7,0.5,1.5,13,SIU,Kayla Cooper,39.25619834710744,41.66666666666667
617,Reese EricsonARMY,G,20,33.9,11.0,3.8,9.2,41.5,2.8,7.1,39.4,0.6,0.9,66.7,1.4,3.0,0.7,0.0,1.7,13,ARMY,Reese Ericson,56.52173913043478,57.31554814506045
617,Jade MasogayoCOLO,F,20,25.8,11.0,4.3,8.4,50.9,0.0,0.1,0.0,2.5,3.3,75.8,5.2,2.3,1.0,0.8,2.3,13,COLO,Jade Masogayo,51.19047619047619,55.826228177019885
617,Mataya GaylePENN,G,17,31.1,11.0,4.5,10.9,41.4,1.1,3.5,32.2,0.8,1.1,77.8,3.2,4.2,1.8,0.1,3.4,13,PENN,Mataya Gayle,46.330275229357795,48.3134223471539
617,Laine McGurkDREX,G,18,28.4,11.0,4.1,10.4,39.6,1.3,4.1,31.1,1.5,1.9,79.4,3.9,2.5,0.7,0.0,1.8,13,DREX,Laine McGurk,45.67307692307692,48.94980420078319
617,Mya PierfaxWIN,G,22,29.8,11.0,3.9,9.4,41.3,1.5,4.6,32.4,1.8,2.2,79.6,2.3,1.5,1.0,0.1,2.1,13,WIN,Mya Pierfax,49.46808510638298,53.047839506172835
617,Harissoum CoulibalyAUB,G,21,25.4,11.0,4.8,9.7,49.3,0.0,0.1,33.3,1.4,2.4,60.0,3.1,1.5,1.9,0.1,2.4,13,AUB,Harissoum Coulibaly,49.48453608247423,51.13425065079955
625,Imari BerryLOU,G,23,22.4,11.0,4.0,8.5,46.9,1.4,3.4,40.5,1.6,1.8,87.8,5.3,2.6,1.5,0.4,1.4,13,LOU,Imari Berry,55.294117647058826,59.19070167886355
626,Jordan ObiUK,G,22,28.2,11.0,4.5,8.4,53.3,0.3,1.2,22.2,1.8,2.8,63.9,6.8,1.1,0.5,0.7,2.2,13,UK,Jordan Obi,55.35714285714286,57.10132890365449
626,Marie SeppMORE,G,22,33.5,11.0,4.2,10.0,42.3,0.8,3.6,21.3,1.7,3.1,55.9,5.5,4.7,1.3,0.1,3.1,13,MORE,Marie Sepp,46.00000000000001,48.39845124956001
628,Taliyah LogwoodTXSO,G,19,19.9,10.9,3.7,9.0,40.9,0.5,2.2,22.0,3.1,4.6,67.0,5.2,0.7,1.5,0.4,2.1,13,TXSO,Taliyah Logwood,43.888888888888886,49.437590711175616
629,Deborah OgayemiSHSU,F,18,32.9,10.9,4.1,8.3,48.7,0.0,0.0,0.0,2.8,4.3,66.2,7.4,0.8,2.7,0.2,1.6,13,SHSU,Deborah Ogayemi,49.39759036144578,53.47331240188383
630,Sofia CeppellottiUNA,F,15,32.5,10.9,4.0,9.3,42.9,1.4,4.3,32.8,1.5,2.0,76.7,5.6,1.3,0.9,0.6,1.9,13,UNA,Sofia Ceppellotti,50.53763440860215,53.536345776031425
631,Darianna Littlepage-BuggsBAY,F,22,29.4,10.9,4.6,8.6,53.4,0.2,0.7,26.7,1.5,2.5,61.8,10.9,2.0,0.9,0.8,2.6,13,BAY,Darianna Littlepage-Buggs,54.65116279069767,56.18556701030929
631,Sara LewisGW,F,22,25.0,10.9,3.6,8.0,45.7,0.1,0.4,22.2,3.5,4.6,76.5,5.6,1.5,0.8,0.4,2.5,13,GW,Sara Lewis,45.625,54.36951316839584
633,Jocelyn SchillerNDSU,G,21,30.0,10.9,3.0,8.1,37.6,0.8,2.6,30.9,4.0,4.9,81.6,3.2,3.4,1.3,0.1,1.7,13,NDSU,Jocelyn Schiller,41.97530864197531,53.139625585023396
634,Madisyn Moore-NicholsonAMER,G,20,27.9,10.9,3.6,10.5,34.4,1.1,3.6,29.2,2.7,3.4,79.1,3.3,1.2,0.7,0.1,2.9,13,AMER,Madisyn Moore-Nicholson,39.523809523809526,45.43181060353451
635,Moses DavenportAAMU,C,19,22.7,10.9,4.4,7.6,57.9,0.1,0.4,12.5,2.0,3.3,61.3,6.1,0.7,1.0,0.8,1.9,13,AAMU,Moses Davenport,58.55263157894738,60.20768890852851
635,Khyala NgoduUCF,C,19,26.3,10.9,4.2,8.2,51.6,0.0,0.0,0.0,2.5,3.7,66.2,6.7,1.4,1.3,0.9,2.3,13,UCF,Khyala Ngodu,51.21951219512195,55.45380545380546
635,Zy ThompsonUTM,F,19,20.8,10.9,4.2,7.3,57.6,0.0,0.1,0.0,2.5,4.1,61.0,6.0,1.1,1.1,0.9,1.7,13,UTM,Zy Thompson,57.53424657534247,59.86379613356767
638,Laura ZieglerLOU,F,23,26.7,10.9,4.0,9.3,43.0,1.3,3.7,36.9,1.5,1.6,94.6,7.6,2.7,0.5,0.4,1.4,13,LOU,Laura Ziegler,50.0,54.478208716513386
639,Jordana CodioHALL,G,21,27.0,10.9,4.0,11.4,34.7,0.7,2.7,24.6,2.3,3.2,70.6,3.7,1.1,1.1,0.8,2.4,13,HALL,Jordana Codio,38.1578947368421,42.55153029356652
639,Dyani AnanievPORT,G,21,26.9,10.9,4.2,10.1,41.5,1.8,5.2,33.9,0.7,0.8,88.2,4.1,2.7,2.7,0.6,2.3,13,PORT,Dyani Ananiev,50.49504950495051,52.14313050133946
641,Alonya WaldonUNF,G,19,22.4,10.8,3.4,7.6,44.8,1.0,2.8,35.2,3.0,4.2,71.2,2.7,2.5,1.6,0.0,3.4,13,UNF,Alonya Waldon,51.31578947368421,57.15495342929721
641,Nastja ClaessensKSU,F,19,28.4,10.8,4.4,8.3,52.5,0.9,2.9,32.1,1.2,1.6,73.3,4.2,1.1,1.2,0.4,1.8,13,KSU,Nastja Claessens,58.43373493975904,59.97334517992003
643,Rachel KausCOR,G,18,29.4,10.8,4.3,9.8,43.8,0.5,1.3,39.1,1.8,2.3,76.2,4.7,1.3,0.8,0.2,1.9,13,COR,Rachel Kaus,46.42857142857142,49.944506104328525
644,Kenleigh WoodsEKU,G,22,31.2,10.8,4.0,8.3,48.4,0.9,3.2,28.2,1.9,2.6,72.4,2.7,2.9,0.9,0.2,1.3,13,EKU,Kenleigh Woods,53.6144578313253,57.179161372299866
645,Nyla HarrisUNC,F,21,21.0,10.8,4.2,7.5,56.3,0.0,0.5,10.0,2.3,3.0,75.0,6.5,1.0,1.1,0.4,1.3,13,UNC,Nyla Harris,56.00000000000001,61.224489795918366
645,Myriam TraoreRMU,G,21,29.8,10.8,4.1,8.7,47.8,1.1,3.5,32.4,1.4,1.8,78.4,5.2,1.2,1.2,1.0,2.2,13,RMU,Myriam Traore,53.44827586206896,56.89001264222504
647,Rita NazarioCSUN,G,19,25.7,10.8,3.5,9.0,38.6,2.5,6.9,36.6,1.3,1.7,78.1,2.9,1.6,1.2,0.1,2.1,13,CSUN,Rita Nazario,52.77777777777778,55.395978662289714
648,Ereauna HardawayUTSA,PG,18,31.8,10.8,3.8,9.1,41.5,1.2,2.4,47.7,2.1,2.9,71.2,3.9,5.1,1.8,0.1,3.0,13,UTSA,Ereauna Hardaway,48.35164835164834,52.043176561295304
648,Simone SawyerPENN,G,18,28.4,10.8,3.4,8.4,40.8,1.1,3.5,31.7,2.8,3.1,90.9,3.8,1.4,1.4,0.1,1.4,13,PENN,Simone Sawyer,47.023809523809526,55.305202785743546
648,Monica MarshGRAM,SG,18,27.1,10.8,3.6,11.7,30.3,1.6,6.4,24.1,2.1,3.0,70.4,2.9,2.9,2.0,0.1,2.3,13,GRAM,Monica Marsh,37.606837606837615,41.474654377880185
651,Courtney OgdenSTAN,F,22,27.2,10.8,4.5,8.1,54.7,0.7,2.2,33.3,1.1,1.4,80.6,4.1,1.5,1.1,0.5,1.8,14,STAN,Courtney Ogden,59.876543209876544,61.95502524093622
652,Zyanna WalkerCOLO,G,21,27.8,10.8,3.9,9.6,40.1,0.5,2.3,22.9,2.5,3.5,71.6,4.5,2.8,2.3,0.2,2.4,14,COLO,Zyanna Walker,43.22916666666667,48.473967684021545
653,Saylor PoffenbargerMD,G,20,28.9,10.8,3.9,9.4,41.0,1.6,4.8,33.3,1.5,2.1,69.0,6.2,3.3,1.8,0.9,2.1,14,MD,Saylor Poffenbarger,50.0,52.30530802014724
653,Daisia MitchellAPP,G,20,27.4,10.8,4.4,9.4,46.5,1.1,2.7,38.9,1.0,1.6,62.5,4.0,2.0,1.3,0.5,2.8,14,APP,Daisia Mitchell,52.659574468085104,53.44418052256532
653,Sinai DouglasFGCU,G,20,31.2,10.8,3.7,9.5,38.4,1.3,3.9,32.1,2.2,3.3,66.7,4.6,3.3,1.6,0.1,2.8,14,FGCU,Sinai Douglas,45.78947368421053,49.30606281957633
653,Nay StatonFGCU,F,20,27.0,10.8,3.4,7.4,45.9,0.9,2.3,39.1,3.1,3.7,83.6,5.7,0.7,0.7,0.3,2.3,14,FGCU,Nay Staton,52.02702702702703,59.81391227292867
653,Haylie AdamskiLAF,G,20,27.0,10.8,3.8,8.8,43.2,2.3,5.9,39.3,0.9,1.2,70.8,2.8,0.8,1.2,0.3,1.3,14,LAF,Haylie Adamski,56.249999999999986,57.8902229845626
658,Sa'Mya WyattSJU,F,23,22.1,10.7,4.3,8.3,52.1,0.1,0.4,33.3,1.9,2.4,78.6,5.0,1.0,0.4,0.4,1.5,14,SJU,Sa'Mya Wyatt,52.40963855421686,57.18255664814021
658,Maddie MoodyNKU,F,23,26.7,10.7,3.9,9.4,41.2,0.6,2.0,27.7,2.4,3.2,75.7,7.0,1.3,0.7,0.8,1.9,14,NKU,Maddie Moody,44.680851063829785,49.50037009622502
660,Blanca QuiñonezCONN,F,19,19.6,10.7,4.5,7.8,57.4,1.0,2.5,40.4,0.8,1.1,75.0,3.4,2.2,1.8,0.5,2.0,14,CONN,Blanca Quiñonez,64.1025641025641,64.5823273780782
661,Madison RuffWIN,G,22,25.5,10.7,4.3,9.0,47.5,0.1,0.6,21.4,2.0,3.5,58.4,3.7,1.7,1.8,0.5,2.5,14,WIN,Madison Ruff,48.33333333333333,50.75901328273245
